Solution,Field strength (T),NiCl2 Concentration (mM),Temp (C),T1 reported (ms),T1 uncertainty (ms),T2 reported (ms),T2 uncertainty (ms)
T1-14,3.00672,65.3,16,21.94,0.31,15.8,0.19
T1-14,3.00672,65.3,18,21.62,0.31,15.47,0.19
T1-14,3.00672,65.3,20,21.44,0.31,15.3,0.19
T1-14,3.00672,65.3,22,21.28,0.31,15.22,0.19
T1-14,3.00672,65.3,24,21.26,0.31,15.33,0.19
T1-14,3.00672,65.3,26,21.31,0.31,15.49,0.19
T1-13,3.00672,46,16,31.05,0.62,22.37,0.38
T1-13,3.00672,46,18,30.65,0.62,21.99,0.38
T1-13,3.00672,46,20,30.4,0.62,21.76,0.38
T1-13,3.00672,46,22,30.27,0.62,21.74,0.38
T1-13,3.00672,46,24,30.25,0.62,21.84,0.38
T1-13,3.00672,46,26,30.31,0.62,22.09,0.38
T1-12,3.00672,32.7,16,43.79,0.44,31.55,0.27
T1-12,3.00672,32.7,18,43.24,0.44,30.97,0.27
T1-12,3.00672,32.7,20,42.89,0.44,30.66,0.27
T1-12,3.00672,32.7,22,42.72,0.44,30.63,0.27
T1-12,3.00672,32.7,24,42.7,0.44,30.83,0.27
T1-12,3.00672,32.7,26,42.8,0.44,30.71,0.27
T1-11,3.00672,23.3,16,61.49,0.88,43.57,0.54
T1-11,3.00672,23.3,18,60.7,0.87,42.91,0.54
T1-11,3.00672,23.3,20,60.21,0.87,42.44,0.54
T1-11,3.00672,23.3,22,59.97,0.88,42.42,0.54
T1-11,3.00672,23.3,24,60,0.87,42.67,0.54
T1-11,3.00672,23.3,26,60.17,0.87,43.22,0.54
T1-10,3.00672,16.5,16,87.47,1.24,62.36,0.76
T1-10,3.00672,16.5,18,86.41,1.24,61.6,0.76
T1-10,3.00672,16.5,20,85.75,1.24,60.86,0.77
T1-10,3.00672,16.5,22,85.03,1.24,60.96,0.76
T1-10,3.00672,16.5,24,85.01,1.24,61.27,0.76
T1-10,3.00672,16.5,26,85.28,1.24,62.12,0.77
T1-9,3.00672,11.3,16,122.99,1.75,89.01,1.08
T1-9,3.00672,11.3,18,121.79,1.75,87.65,1.08
T1-9,3.00672,11.3,20,121.08,1.75,86.91,1.09
T1-9,3.00672,11.3,22,120.8,1.75,86.85,1.08
T1-9,3.00672,11.3,24,120.9,1.75,87.27,1.08
T1-9,3.00672,11.3,26,121.34,1.75,88.37,1.09
T1-8,3.00672,7.74,16,177.68,2.47,129.78,1.54
T1-8,3.00672,7.74,18,175.94,2.47,127.33,1.54
T1-8,3.00672,7.74,20,174.95,2.48,126.33,1.55
T1-8,3.00672,7.74,22,174.59,2.47,126.49,1.54
T1-8,3.00672,7.74,24,174.78,2.47,126.91,1.54
T1-8,3.00672,7.74,26,175.48,2.48,128.28,1.55
T1-7,3.00672,5.43,16,243.77,3.49,178.68,2.18
T1-7,3.00672,5.43,18,241.84,3.49,176.11,2.18
T1-7,3.00672,5.43,20,240.86,3.51,174.99,2.2
T1-7,3.00672,5.43,22,240.75,3.49,175.07,2.18
T1-7,3.00672,5.43,24,241.31,3.49,176.15,2.18
T1-7,3.00672,5.43,26,242.45,3.51,178.08,2.2
T1-6,3.00672,3.68,16,343,4.93,252.21,3.1
T1-6,3.00672,3.68,18,341.53,4.94,249.23,3.11
T1-6,3.00672,3.68,20,341.58,4.97,248.03,3.14
T1-6,3.00672,3.68,22,342.58,4.93,248.15,3.1
T1-6,3.00672,3.68,24,344.23,4.94,250.05,3.11
T1-6,3.00672,3.68,26,346.67,4.97,253.8,3.14
T1-5,3.00672,2.52,16,483.91,6.95,358.92,4.43
T1-5,3.00672,2.52,18,482.91,7.01,355.15,4.46
T1-5,3.00672,2.52,20,484.97,7.06,354.38,4.51
T1-5,3.00672,2.52,22,486.92,6.95,356.14,4.43
T1-5,3.00672,2.52,24,490.24,7.01,359.8,4.46
T1-5,3.00672,2.52,26,494.55,7.06,365.21,4.51
T1-4,3.00672,1.64,16,675.07,9.94,519.26,6.45
T1-4,3.00672,1.64,18,686.88,10.02,520.94,6.49
T1-4,3.00672,1.64,20,690.08,10.12,521.27,6.57
T1-4,3.00672,1.64,22,695.01,9.94,523.08,6.45
T1-4,3.00672,1.64,24,701.06,10.02,528.55,6.49
T1-4,3.00672,1.64,26,709.48,10.12,538.22,6.57
T1-3,3.00672,1.04,16,950.71,13.82,731.7,9.09
T1-3,3.00672,1.04,18,963.56,14.02,735.31,9.19
T1-3,3.00672,1.04,20,987.27,14.22,736.97,9.32
T1-3,3.00672,1.04,22,1000.81,13.82,744.39,12.88
T1-3,3.00672,1.04,24,1015.7,14.02,755.94,12.99
T1-3,3.00672,1.04,26,1030.78,14.22,768.69,13.03
T1-2,3.00672,0.6,16,1274.07,19.44,990.77,12.88
T1-2,3.00672,0.6,18,1317.71,19.97,1010.28,12.99
T1-2,3.00672,0.6,20,1330.16,20.41,1026.78,13.03
T1-2,3.00672,0.6,22,1355.29,19.44,1040.25,12.88
T1-2,3.00672,0.6,24,1367.79,19.97,1048.13,12.99
T1-2,3.00672,0.6,26,1395.94,20.41,1067.14,13.03
T1-1,3.00672,0.29,16,1766.68,28.54,1348.91,18.96
T1-1,3.00672,0.29,18,1830.34,29.44,1455.09,19.72
T1-1,3.00672,0.29,20,1883.97,30.32,1489.41,20.41
T1-1,3.00672,0.29,22,1937.34,28.54,1520.77,18.96
T1-1,3.00672,0.29,24,1987.5,29.44,1532.32,19.72
T1-1,3.00672,0.29,26,2066.95,30.32,1578.57,20.41
