Solution,Field strength (T),MnCl2 Concentration (mM),Temp (C),T1 reported (ms),T1 uncertainty (ms),T2 reported (ms),T2 uncertainty (ms)
T2-14,3.00672,1.5996,16,73.65,1.84,4.79,0.05
T2-14,3.00672,1.5996,18,77.93,1.95,4.93,0.05
T2-14,3.00672,1.5996,20,82.46,2.06,5.1,0.05
T2-14,3.00672,1.5996,22,87.08,2.18,5.28,0.05
T2-14,3.00672,1.5996,24,91.82,2.3,5.48,0.05
T2-14,3.00672,1.5996,26,96.54,2.41,5.69,0.05
T2-13,3.00672,1.1274,16,104.57,2.61,6.83,0.06
T2-13,3.00672,1.1274,18,110.49,2.76,7.04,0.07
T2-13,3.00672,1.1274,20,116.7,2.92,7.27,0.07
T2-13,3.00672,1.1274,22,123.22,3.08,7.49,0.07
T2-13,3.00672,1.1274,24,129.67,3.24,7.76,0.07
T2-13,3.00672,1.1274,26,136.34,3.41,8.06,0.08
T2-12,3.00672,0.7902,16,141.21,3.53,9.88,0.09
T2-12,3.00672,0.7902,18,149.28,3.73,10.17,0.1
T2-12,3.00672,0.7902,20,158.17,3.95,10.52,0.1
T2-12,3.00672,0.7902,22,166.64,4.17,10.88,0.1
T2-12,3.00672,0.7902,24,175.31,4.38,11.25,0.11
T2-12,3.00672,0.7902,26,184.07,4.6,11.67,0.11
T2-11,3.00672,0.5555,16,203.53,5.09,13.94,0.13
T2-11,3.00672,0.5555,18,214.8,5.37,14.28,0.13
T2-11,3.00672,0.5555,20,226.53,5.66,14.74,0.14
T2-11,3.00672,0.5555,22,238.33,5.96,15.24,0.14
T2-11,3.00672,0.5555,24,250.62,6.27,15.8,0.15
T2-11,3.00672,0.5555,26,263.09,6.58,16.39,0.15
T2-10,3.00672,0.4276,16,262.14,6.55,18.22,0.17
T2-10,3.00672,0.4276,18,277.38,6.93,18.78,0.18
T2-10,3.00672,0.4276,20,292.87,7.32,19.4,0.18
T2-10,3.00672,0.4276,22,308.92,7.72,20.07,0.19
T2-10,3.00672,0.4276,24,325.23,8.13,20.78,0.2
T2-10,3.00672,0.4276,26,341.74,8.54,21.56,0.2
T2-9,3.00672,0.2768,16,384.99,9.62,28.04,0.26
T2-9,3.00672,0.2768,18,408.05,10.2,28.93,0.27
T2-9,3.00672,0.2768,20,431.22,10.78,29.88,0.28
T2-9,3.00672,0.2768,22,454.82,11.37,30.92,0.29
T2-9,3.00672,0.2768,24,478.81,11.97,32.06,0.3
T2-9,3.00672,0.2768,26,503.3,12.58,33.25,0.31
T2-8,3.00672,0.193,16,531.6,13.29,41.53,0.39
T2-8,3.00672,0.193,18,563.86,14.1,42.63,0.4
T2-8,3.00672,0.193,20,599.96,15,44.24,0.42
T2-8,3.00672,0.193,22,634.59,15.86,45.86,0.43
T2-8,3.00672,0.193,24,669.56,16.74,47.66,0.45
T2-8,3.00672,0.193,26,703.51,17.59,49.26,0.46
T2-7,3.00672,0.1353,16,711.11,17.78,59.45,0.56
T2-7,3.00672,0.1353,18,757.34,18.93,61.31,0.58
T2-7,3.00672,0.1353,20,805.1,20.13,63.42,0.6
T2-7,3.00672,0.1353,22,848.64,21.33,65.65,0.62
T2-7,3.00672,0.1353,24,892.41,22.31,67.82,0.64
T2-7,3.00672,0.1353,26,937.12,23.43,70.57,0.66
T2-6,3.00672,0.0934,16,892.29,22.31,81.86,0.77
T2-6,3.00672,0.0934,18,972.48,24.31,85.92,0.81
T2-6,3.00672,0.0934,20,1026.43,25.66,88.89,0.84
T2-6,3.00672,0.0934,22,1083.42,27.09,92.3,0.87
T2-6,3.00672,0.0934,24,1141.5,28.54,95.97,0.9
T2-6,3.00672,0.0934,26,1202.4,30.06,99.89,0.94
T2-5,3.00672,0.0626,16,1307.88,32.7,154.07,1.45
T2-5,3.00672,0.0626,18,1417.53,35.44,159.77,1.5
T2-5,3.00672,0.0626,20,1510.76,37.77,166.9,1.57
T2-5,3.00672,0.0626,22,1589.88,39.75,172.51,1.62
T2-5,3.00672,0.0626,24,1687.39,42.18,180.8,1.7
T2-5,3.00672,0.0626,26,1774.24,44.36,188.16,1.77
T2-4,3.00672,0.0434,16,1341.07,33.53,161.07,1.51
T2-4,3.00672,0.0434,18,1466.78,36.67,169.02,1.59
T2-4,3.00672,0.0434,20,1549.98,38.75,175.05,1.65
T2-4,3.00672,0.0434,22,1626.53,40.66,181.48,1.71
T2-4,3.00672,0.0434,24,1715.06,42.88,187.21,1.76
T2-4,3.00672,0.0434,26,1801.61,45.04,192.23,1.81
T2-3,3.00672,0.0282,16,1657.68,41.44,247.93,2.33
T2-3,3.00672,0.0282,18,1783.21,44.58,257.47,2.42
T2-3,3.00672,0.0282,20,1901.28,47.53,267.29,2.51
T2-3,3.00672,0.0282,22,2009.05,50.23,276.98,2.6
T2-3,3.00672,0.0282,24,2119.34,52.98,287.48,2.7
T2-3,3.00672,0.0282,26,2232.44,55.81,299.08,2.81
T2-2,3.00672,0.0181,16,1874.96,46.87,357.4,3.36
T2-2,3.00672,0.0181,18,2073.94,51.85,370.54,3.48
T2-2,3.00672,0.0181,20,2185.54,54.64,379.48,3.57
T2-2,3.00672,0.0181,22,2302.78,57.57,392.49,3.69
T2-2,3.00672,0.0181,24,2424.62,60.62,406.02,3.82
T2-2,3.00672,0.0181,26,2546.04,63.65,420.75,3.96
T2-1,3.00672,0.0108,16,2669.83,66.75,1705.84,16.03
T2-1,3.00672,0.0108,18,2862.34,71.56,1823.56,17.14
T2-1,3.00672,0.0108,20,3025.17,75.63,1928.33,18.13
T2-1,3.00672,0.0108,22,3191.54,79.79,2023.15,19.02
T2-1,3.00672,0.0108,24,3365.05,84.13,2139.79,20.11
T2-1,3.00672,0.0108,26,3536.79,88.42,2205.31,20.73
