Field strength (T),PVP Concentration (%),Temp (C),ADC reported (um^2/s),ADC Uncertainty (um^2/sec)
3,0,0,1109,8.3
3,0,16,1799,13
3,0,18,1898,13.7
3,0,20,2000,14.3
3,0,22,2106,15
3,0,24,2232,16
3,0,26,2335,16.7
3,10,0,817,6.3
3,10,16,1376,10.3
3,10,18,1462,10.7
3,10,20,1551,11.3
3,10,22,1640,12
3,10,24,1742,12.7
3,10,26,1825,13
3,20,0,579,5
3,20,16,1047,8
3,20,18,1112,8.3
3,20,20,1183,9
3,20,22,1258,9.3
3,20,24,1322,9.7
3,20,26,1390,10.3
3,30,0,380,3.7
3,30,16,722,5.7
3,30,18,760,6
3,30,20,832,6.7
3,30,22,886,7
3,30,24,929,7.3
3,30,26,989,7.7
3,40,0,220,2.3
3,40,16,440,4
3,40,18,471,4
3,40,20,507,4.3
3,40,22,545,4.7
3,40,24,584,5
3,40,26,625,5.3
3,50,0,110,1.7
3,50,16,231,2.7
3,50,18,246,2.7
3,50,20,267,2.7
3,50,22,293,3
3,50,24,323,3
3,50,26,352,3.3
